delayCode,description,Male1(e),Male1(m),Female1(e),Female1(m)
880,This train has been delayed by theft of signalling cables,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
881,This train has been delayed by theft of third rail electrification equipment,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
882,This train has been delayed by vandalism at a station,disruption-reason.e.vandalism,disruption-reason.m.vandalism,disruption-reason.e.vandalism,disruption-reason.m.vandalism
883,This train has been delayed by vandalism of railway equipment,disruption-reason.e.vandalism,disruption-reason.m.vandalism,disruption-reason.e.vandalism,disruption-reason.m.vandalism
884,This train has been delayed by vandalism on a train,disruption-reason.e.vandalism,disruption-reason.m.vandalism,disruption-reason.e.vandalism,disruption-reason.m.vandalism
885,This train has been delayed by vandalism on this train,disruption-reason.e.an act of vandalism on this train,disruption-reason.m.an act of vandalism on this train,disruption-reason.e.an act of vandalism on this train,disruption-reason.m.an act of vandalism on this train
886,This train has been delayed by train crew being delayed,disruption-reason.e.awaiting a member of train crew,disruption-reason.m.awaiting a member of train crew,disruption-reason.e.awaiting a member of train crew,disruption-reason.m.awaiting a member of train crew
887,This train has been delayed by train crew being delayed by service disruption,"disruption-reason.m.awaiting a member of train crew,disruption-reason.e.who in turn has been delayed by the current disruption",,"disruption-reason.m.awaiting a member of train crew,disruption-reason.e.who in turn has been delayed by the current disruption",
888,This train has been delayed by a bridge being damaged,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
889,This train has been delayed by a bridge being damaged by a boat,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
890,This train has been delayed by a bridge being damaged by a road vehicle,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
891,This train has been delayed by a bridge having collapsed,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
892,This train has been delayed by a broken rail,disruption-reason.e.a broken rail,disruption-reason.m.a broken rail,disruption-reason.e.a broken rail,disruption-reason.m.a broken rail
893,This train has been delayed by a late departure while the train was cleaned specially,disruption-reason.e.additional cleaning duties,disruption-reason.m.additional cleaning duties,disruption-reason.e.additional cleaning duties,disruption-reason.m.additional cleaning duties
894,This train has been delayed by a late running freight train,disruption-reason.e.a slow-running preceding freight train running behind schedule,disruption-reason.m.a slow-running preceding freight train running behind schedule,disruption-reason.e.a slow-running preceding freight train running behind schedule,disruption-reason.m.a slow-running preceding freight train running behind schedule
895,This train has been delayed by a late running train being in front of this one,disruption-reason.e.a slow-running preceding freight train running behind schedule,disruption-reason.m.a slow-running preceding freight train running behind schedule,disruption-reason.e.a slow-running preceding freight train running behind schedule,disruption-reason.m.a slow-running preceding freight train running behind schedule
896,This train has been delayed by a points failure,disruption-reason.e.a points failure,disruption-reason.m.a points failure,disruption-reason.e.a points failure,disruption-reason.m.a points failure
897,This train has been delayed by a power cut at the station,disruption-reason.e.an electrical power supply problem,disruption-reason.m.an electrical power supply problem,disruption-reason.e.an electrical power supply problem,disruption-reason.m.an electrical power supply problem
898,This train has been delayed by a problem with the station lighting,disruption-reason.e.a temporary fault on the station lighting,disruption-reason.m.a temporary fault on the station lighting,disruption-reason.e.a temporary fault on the station lighting,disruption-reason.m.a temporary fault on the station lighting
899,This train has been delayed by a rail buckling in the heat,disruption-reason.e.the extreme heat,disruption-reason.m.the extreme heat,disruption-reason.e.the extreme heat,disruption-reason.m.the extreme heat
900,This train has been delayed by a railway embankment being damaged,disruption-reason.e.a landslip,disruption-reason.m.a landslip,disruption-reason.e.a landslip,disruption-reason.m.a landslip
901,This train has been delayed by a shortage of station staff,disruption-reason.e.a shortage of train dispatch staff,disruption-reason.m.a shortage of train dispatch staff,disruption-reason.e.a shortage of train dispatch staff,disruption-reason.m.a shortage of train dispatch staff
902,This train has been delayed by a tunnel being closed for safety reasons,disruption-reason.e.damaged track,disruption-reason.m.damaged track,disruption-reason.e.damaged track,disruption-reason.m.damaged track
903,This train has been delayed by an incident at the airport,disruption-reason.e.a security alert,disruption-reason.m.a security alert,disruption-reason.e.a security alert,disruption-reason.m.a security alert
904,This train has been delayed by congestion,disruption-reason.e.congestion,disruption-reason.m.congestion,disruption-reason.e.congestion,disruption-reason.m.congestion
905,This train has been delayed by the communication alarm being activated on a train,disruption-reason.e.the emergency communication cord being activated,disruption-reason.m.the emergency communication cord being activated,disruption-reason.e.the emergency communication cord being activated,disruption-reason.m.the emergency communication cord being activated
